video_id,title,title_len,desc_len,tags_count,published_hour,published_dayofweek,categoryId,duration_seconds,views,likes,comments
Ha4KYA3sM-0,He Found a Live Stream Near His Home (@jazkeanedj/@jazkeane),60,63,8,14,2,17,38,12671034,580495,927
8xdKo5rPZEM,Robbery encountered a frying pan warrior!#shorts #shortvideo #series #fouryou,77,0,0,12,6,24,58,23071432,642992,3478
FYWLB7x9xmE,He doesn’t allow his daughters to say that word#series,54,0,0,14,1,22,61,15740461,1002780,3216
G8xQtz8RcD0,"But according to Tanya,39 quarters looked a lot neater than 40. #shorts",71,0,0,10,1,22,59,14497020,651855,426
lBOfz9Rqalk,Pouring Bad Beer's Prank @misfitmindss,38,346,14,16,2,23,56,31357700,0,2537
G5aMbWdhmHY,They finally managed to save themselves.#shorts,47,0,0,11,0,22,59,26225101,671845,571
u4up-3gicwI,She Saved Him 💝 | Going In Style | Sad Edit | Song - Kamin (Slowed) #edit #shorts,81,1043,0,8,2,24,59,13308270,0,1088
X1xUvpMrFkY,One of the stories you shouldn't miss.#shorts,45,0,0,11,0,22,60,6408184,216359,525
vI4wVcvy8pc,SIDEMEN YOU LAUGH YOU LOSE: 24 HOUR EDITION,43,1989,3,18,6,24,4866,6974365,243875,5628
GHAb_MF3w8I,How I Got PRANKED with Ice Cream.. 🍨😭 #relatablestories #comedy #funnymemes,75,318,0,16,3,24,14,7905593,217444,2747
PcQ-0fze9bQ,He did not expect this from his wife😱😏,38,0,0,15,3,22,57,25480420,603384,14507
ppwwFGUu7y0,#misspanghal,12,765,9,16,4,24,40,4272141,171693,1707
tyGjLN1RaJQ,A Toddler Fell Into A Well 😢,28,0,0,20,6,19,33,34633748,1069337,7807
56jvMArcgT0,It Wasn’t His Friends Who Looked Away—It Was Him,48,792,0,15,6,1,60,12585304,553465,1879
6GRHbyq-eWM,This child should be properly disciplined#series,48,0,0,13,6,22,60,16316332,594247,3556
GRNEiyEu3K8,Chris Pratt And Millie Bobby Brown Competing For The Dog Crown👑🔥,64,346,0,19,5,22,50,11419662,385024,1072
#NAME?,Dexter Kills The Wrong Dude | #shorts,37,29,7,5,1,24,24,10905504,450575,1428
CU_CVgS_jJw,Emma Stone on NYC Ignoring Spider Man 🕷️🦸,41,647,0,18,1,22,19,9749435,378955,555
t2GNyN6L6Z4,She Tamed The Unicorn Demon | Shazam! Fury of the Gods | Kamin - Emin & Jony (slowed) #edit #shorts,99,828,0,13,2,22,59,31870392,894611,9403
qqXmeUy4UHE,Bro's Questions ⁉️,18,121,0,20,5,24,60,8363452,0,733
